2020-07-31 16:27:20 status half-configured libgcc-s1:amd64 10-20200411-0ubuntu1
2020-07-31 16:27:20 status installed libgcc-s1:amd64 10-20200411-0ubuntu1
2020-07-31 16:27:20 configure libc6:amd64 2.31-0ubuntu9 <none>
2020-07-31 16:27:20 status unpacked libc6:amd64 2.31-0ubuntu9
2020-07-31 16:27:20 status half-configured libc6:amd64 2.31-0ubuntu9
2020-07-31 16:27:21 status installed libc6:amd64 2.31-0ubuntu9
2020-07-31 16:27:21 configure libudev1:amd64 245.4-4ubuntu3 <none>
2020-07-31 16:27:21 status unpacked libudev1:amd64 245.4-4ubuntu3
2020-07-31 16:27:21 status half-configured libudev1:amd64 245.4-4ubuntu3
2020-07-31 16:27:21 status installed libudev1:amd64 245.4-4ubuntu3
2020-07-31 16:27:21 configure libsepol1:amd64 3.0-1 <none>
2020-07-31 16:27:21 status unpacked libsepol1:amd64 3.0-1
2020-07-31 16:27:21 status half-configured libsepol1:amd64 3.0-1
2020-07-31 16:27:21 status installed libsepol1:amd64 3.0-1
2020-07-31 16:27:21 configure libattr1:amd64 1:2.4.48-5 <none>
2020-07-31 16:27:21 status unpacked libattr1:amd64 1:2.4.48-5
2020-07-31 16:27:21 status half-configured libattr1:amd64 1:2.4.48-5
2020-07-31 16:27:21 status installed libattr1:amd64 1:2.4.48-5
2020-07-31 16:27:21 configure debianutils:amd64 4.9.1 <none>
2020-07-31 16:27:21 status unpacked debianutils:amd64 4.9.1
2020-07-31 16:27:21 status half-configured debianutils:amd64 4.9.1
2020-07-31 16:27:21 status installed debianutils:amd64 4.9.1
2020-07-31 16:27:21 configure mawk:amd64 1.3.4.20200120-2 <none>
2020-07-31 16:27:21 status unpacked mawk:amd64 1.3.4.20200120-2
2020-07-31 16:27:21 status half-configured mawk:amd64 1.3.4.20200120-2
2020-07-31 16:27:21 status installed mawk:amd64 1.3.4.20200120-2
2020-07-31 16:27:21 configure libdebconfclient0:amd64 0.251ubuntu1 <none>
2020-07-31 16:27:21 status unpacked libdebconfclient0:amd64 0.251ubuntu1
2020-07-31 16:27:21 status half-configured libdebconfclient0:amd64 0.251ubuntu1
2020-07-31 16:27:21 status installed libdebconfclient0:amd64 0.251ubuntu1
2020-07-31 16:27:21 configure base-files:amd64 11ubuntu5 <none>
2020-07-31 16:27:21 status unpacked base-files:amd64 11ubuntu5
2020-07-31 16:27:21 status half-configured base-files:amd64 11ubuntu5
2020-07-31 16:27:21 status installed base-files:amd64 11ubuntu5
2020-07-31 16:27:21 configure libbz2-1.0:amd64 1.0.8-2 <none>
2020-07-31 16:27:21 status unpacked libbz2-1.0:amd64 1.0.8-2
2020-07-31 16:27:21 status half-configured libbz2-1.0:amd64 1.0.8-2
2020-07-31 16:27:21 status installed libbz2-1.0:amd64 1.0.8-2
2020-07-31 16:27:21 configure base-passwd:amd64 3.5.47 <none>
2020-07-31 16:27:21 status unpacked base-passwd:amd64 3.5.47
2020-07-31 16:27:21 status half-configured base-passwd:amd64 3.5.47
2020-07-31 16:27:21 status installed base-passwd:amd64 3.5.47
